#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      41.8050797      0.0000000      0.0000000     41.8050797
      10.000      41.8025833      0.8116536      1.8672386     41.8106999
      20.000      41.7794878      4.4799101     11.8163424     41.8690860
      30.000      41.6952357     13.4364716     36.7712214     42.0983299
      40.000      41.4883673     29.0184244     74.8494180     42.6491043
      50.000      41.0959098     50.2577154    117.0929253     43.6087956
      60.000      40.4709432     75.1882301    156.8587225     44.9822370
      70.000      39.5858115    102.0375091    191.4387079     46.7284371
      80.000      38.4280231    129.5533001    220.4300687     48.7922871
      90.000      36.9951970    156.9443666    244.3739727     51.1201900
     100.000      35.2911273    183.7448627    264.0706464     53.6656135
     110.000      33.3231339    209.6993541    280.3013923     56.3900628
     120.000      31.1003849    234.6829826    293.7383716     59.2623428
     130.000      28.6328682    258.6499310    304.9303212     62.2573592
     140.000      25.9307750    281.6011447    314.3150083     65.3549352
     150.000      23.0041401    303.5643777    322.2384905     68.5387968
     160.000      19.8626404    324.5819399    328.9738014     71.7957508
     170.000      16.5154892    344.7032203    334.7367933     75.1150366
     180.000      12.9713904    363.9801678    339.6988308     78.4878206
     190.000       9.2385273    382.4646052    343.9966972     81.9068023
     200.000       5.3245725    400.2066828    347.7402327     85.3659091
     210.000       1.2367091    417.2540372    351.0181991     88.8600569
     220.000      -3.0183419    433.6513869    353.9027830     92.3849633
     230.000      -7.4342912    449.4403936    356.4530615     95.9369994
     240.000     -12.0052510    464.6596842    358.7176807     99.5130732
     250.000     -16.7257051    479.3449639    360.7369369    103.1105359
     260.000     -21.5904804    493.5291805    362.5444012    106.7271066
     270.000     -26.5947200    507.2427118    364.1681960    110.3608121
     280.000     -31.7338592    520.5135601    365.6320031    114.0099376
     290.000     -37.0036019    533.3675447    366.9558659    117.6729861
     300.000     -42.3999002    545.8284857    368.1568290    121.3486455
     310.000     -47.9189350    557.9183765    369.2494536    125.0357617
     320.000     -53.5570988    569.6575441    370.2462336    128.7333153
     330.000     -59.3109796    581.0647957    371.1579333    132.4404030
     340.000     -65.1773465    592.1575532    371.9938642    136.1562216
     350.000     -71.1531364    602.9519746    372.7621110    139.8800547
     360.000     -77.2354417    613.4630651    373.4697187    143.6112617
     370.000     -83.4214998    623.7047769    374.1228476    147.3492676
     380.000     -89.7086827    633.6900997    374.7269021    151.0935552
     390.000     -96.0944877    643.4311427    375.2866381    154.8436580
     400.000    -102.5765291    652.9392083    375.8062537    158.5991543
     410.000    -109.1525305    662.2248592    376.2894654    162.3596618
     420.000    -115.8203179    671.2979789    376.7395718    166.1248333
     430.000    -122.5778126    680.1678262    377.1595090    169.8943527
     440.000    -129.4230258    688.8430852    377.5518970    173.6679316
     450.000    -136.3540529    697.3319100    377.9190788    177.4453066
     460.000    -143.3690682    705.6419661    378.2631553    181.2262362
     470.000    -150.4663204    713.7804669    378.5860142    185.0104990
     480.000    -157.6441284    721.7542080    378.8893553    188.7978915
     490.000    -164.9008768    729.5695979    379.1747125    192.5882262
     500.000    -172.2350127    737.2326862    379.4434726    196.3813304
     510.000    -179.6450419    744.7491891    379.6968921    200.1770445
     520.000    -187.1295259    752.1245131    379.9361110    203.9752209
     530.000    -194.6870787    759.3637765    380.1621663    207.7757229
     540.000    -202.3163641    766.4718289    380.3760020    211.5784235
     550.000    -210.0160932    773.4532696    380.5784797    215.3832051
     560.000    -217.7850220    780.3124641    380.7703864    219.1899579
     570.000    -225.6219489    787.0535594    380.9524426    222.9985800
     580.000    -233.5257127    793.6804980    381.1253085    226.8089761
     590.000    -241.4951908    800.1970311    381.2895901    230.6210575
     600.000    -249.5292972    806.6067307    381.4458447    234.4347412
     610.000    -257.6269807    812.9130001    381.5945849    238.2499494
     620.000    -265.7872233    819.1190850    381.7362835    242.0666094
     630.000    -274.0090388    825.2280823    381.8713765    245.8846530
     640.000    -282.2914712    831.2429492    382.0002669    249.7040163
     650.000    -290.6335935    837.1665114    382.1233277    253.5246389
     660.000    -299.0345061    843.0014707    382.2409040    257.3464645
     670.000    -307.4933362    848.7504119    382.3533161    261.1694398
     680.000    -316.0092359    854.4158096    382.4608613    264.9935146
     690.000    -324.5813818    860.0000341    382.5638157    268.8186417
     700.000    -333.2089736    865.5053572    382.6624363    272.6447765
     710.000    -341.8912332    870.9339577    382.7569623    276.4718768
     720.000    -350.6274040    876.2879261    382.8476167    280.2999028
     730.000    -359.4167496    881.5692693    382.9346077    284.1288169
     740.000    -368.2585537    886.7799150    383.0181294    287.9585834
     750.000    -377.1521185    891.9217160    383.0983636    291.7891686
     760.000    -386.0967645    896.9964537    383.1754802    295.6205403
     770.000    -395.0918297    902.0058416    383.2496382    299.4526683
     780.000    -404.1366690    906.9515291    383.3209868    303.2855237
     790.000    -413.2306533    911.8351043    383.3896659    307.1190791
     800.000    -422.3731691    916.6580971    383.4558066    310.9533086
     810.000    -431.5636182    921.4219820    383.5195323    314.7881872
     820.000    -440.8014165    926.1281805    383.5809590    318.6236916
     830.000    -450.0859941    930.7780641    383.6401956    322.4597991
     840.000    -459.4167945    935.3729559    383.6973450    326.2964885
     850.000    -468.7932742    939.9141336    383.7525038    330.1337394
     860.000    -478.2149022    944.4028308    383.8057633    333.9715323
     870.000    -487.6811598    948.8402396    383.8572096    337.8098486
     880.000    -497.1915399    953.2275120    383.9069238    341.6486707
     890.000    -506.7455466    957.5657620    383.9549828    345.4879816
     900.000    -516.3426953    961.8560671    384.0014591    349.3277651
     910.000    -525.9825117    966.0994696    384.0464213    353.1680057
     920.000    -535.6645317    970.2969787    384.0899344    357.0086887
     930.000    -545.3883015    974.4495712    384.1320599    360.8497998
     940.000    -555.1533766    978.5581936    384.1728561    364.6913254
     950.000    -564.9593219    982.6237626    384.2123783    368.5332526
     960.000    -574.8057113    986.6471669    384.2506789    372.3755689
     970.000    -584.6921275    990.6292679    384.2878076    376.2182623
     980.000    -594.6181618    994.5709011    384.3238118    380.0613213
     990.000    -604.5834134    998.4728771    384.3587363    383.9047349
    1000.000    -614.5874897   1002.3359823    384.3926238    387.7484926
    1010.000    -624.6300060   1006.1609803    384.4255149    391.5925841
    1020.000    -634.7105848   1009.9486122    384.4574482    395.4369997
    1030.000    -644.8288561   1013.6995981    384.4884606    399.2817300
    1040.000    -654.9844569   1017.4146374    384.5185870    403.1267660
    1050.000    -665.1770313   1021.0944097    384.5478609    406.9720989
    1060.000    -675.4062298   1024.7395757    384.5763140    410.8177204
    1070.000    -685.6717096   1028.3507777    384.6039768    414.6636225
    1080.000    -695.9731342   1031.9286404    384.6308782    418.5097974
    1090.000    -706.3101733   1035.4737715    384.6570458    422.3562377
    1100.000    -716.6825025   1038.9867623    384.6825062    426.2029360
    1110.000    -727.0898033   1042.4681881    384.7072844    430.0498855
    1120.000    -737.5317629   1045.9186093    384.7314047    433.8970795
    1130.000    -748.0080740   1049.3385712    384.7548901    437.7445115
    1140.000    -758.5184346   1052.7286051    384.7777627    441.5921752
    1150.000    -769.0625480   1056.0892285    384.8000436    445.4400648
    1160.000    -779.6401228   1059.4209457    384.8217529    449.2881742
    1170.000    -790.2508722   1062.7242480    384.8429102    453.1364980
    1180.000    -800.8945146   1065.9996146    384.8635338    456.9850306
    1190.000    -811.5707730   1069.2475125    384.8836417    460.8337669
    1200.000    -822.2793748   1072.4683972    384.9032508    464.6827018
    1210.000    -833.0200524   1075.6627130    384.9223774    468.5318303
    1220.000    -843.7925420   1078.8308933    384.9410374    472.3811478
    1230.000    -854.5965845   1081.9733611    384.9592456    476.2306496
    1240.000    -865.4319249   1085.0905291    384.9770166    480.0803313
    1250.000    -876.2983121   1088.1828005    384.9943643    483.9301885
    1260.000    -887.1954992   1091.2505686    385.0113019    487.7802172
    1270.000    -898.1232431   1094.2942176    385.0278423    491.6304132
    1280.000    -909.0813044   1097.3141228    385.0439977    495.4807727
    1290.000    -920.0694476   1100.3106508    385.0597802    499.3312919
    1300.000    -931.0874407   1103.2841599    385.0752009    503.1819671
    1310.000    -942.1350552   1106.2350000    385.0902709    507.0327948
    1320.000    -953.2120663   1109.1635134    385.1050008    510.8837714
    1330.000    -964.3182522   1112.0700345    385.1194006    514.7348937
    1340.000    -975.4533948   1114.9548904    385.1334803    518.5861584
    1350.000    -986.6172789   1117.8184008    385.1472490    522.4375623
    1360.000    -997.8096927   1120.6608787    385.1607161    526.2891023
    1370.000   -1009.0304274   1123.4826299    385.1738902    530.1407756
    1380.000   -1020.2792772   1126.2839539    385.1867796    533.9925792
