#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      80.1604471      0.0000000      0.0000000     80.1604471
      10.000      80.1475810      3.9372068      8.0706994     80.1869530
      20.000      80.0529799     16.4604576     33.7407110     80.3821890
      30.000      79.7912208     37.0772650     71.9363317     80.9035387
      40.000      79.2916656     63.6252363    114.9309532     81.8366751
      50.000      78.5065385     93.8419663    156.9638434     83.1986369
      60.000      77.4087851    125.8901177    194.9417536     84.9621922
      70.000      75.9869804    158.4811535    227.9142588     87.0806612
      80.000      74.2400904    190.8051065    256.1065639     89.5044989
      90.000      72.1733423    222.3971687    280.1885981     92.1890875
     100.000      69.7954051    253.0162015    300.8936022     95.0970253
     110.000      67.1166215    282.5567888    318.8668935     98.1978683
     120.000      64.1479585    310.9920433    334.6283866    101.4670036
     130.000      60.9004124    338.3384977    348.5810474    104.8844171
     140.000      57.3846885    364.6352998    361.0330742    108.4336304
     150.000      53.6110398    389.9321981    372.2206283    112.1008695
     160.000      49.5891989    414.2827725    382.3267558    115.8744425
     170.000      45.3283595    437.7407328    391.4957912    119.7442841
     180.000      40.8371863    460.3579870    399.8438325    123.7016239
     190.000      36.1238379    482.1837137    407.4661762    127.7387435
     200.000      31.1959965    503.2639952    414.4425391    131.8487955
     210.000      26.0608994    523.6417555    420.8407195    136.0256680
     220.000      20.7253699    543.3568565    426.7191832    140.2638783
     230.000      15.1958475    562.4462711    432.1289115    144.5584899
     240.000       9.4784155    580.9442859    437.1147489    148.9050442
     250.000       3.5788269    598.8827115    441.7164067    153.2995047
     260.000      -2.4974721    616.2910847    445.9692316    157.7382099
     270.000      -8.7453197    633.1968591    449.9048085    162.2178323
     280.000     -15.1598193    649.6255806    453.5514456    166.7353433
     290.000     -21.7363206    665.6010474    456.9345747    171.2879831
     300.000     -28.4704035    681.1454550    460.0770870    175.8732330
     310.000     -35.3578621    696.2795287    462.9996189    180.4887918
     320.000     -42.3946910    711.0226420    465.7208001    185.1325544
     330.000     -49.5770723    725.3929250    468.2574688    189.8025929
     340.000     -56.9013635    739.4073623    470.6248612    194.4971397
     350.000     -64.3640866    753.0818819    472.8367787    199.2145720
     360.000     -71.9619180    766.4314357    474.9057361    203.9533988
     370.000     -79.6916790    779.4700736    476.8430928    208.7122482
     380.000     -87.5503272    792.2110099    478.6591704    213.4898565
     390.000     -95.5349484    804.6666851    480.3633564    218.2850587
     400.000    -103.6427492    816.8488212    481.9641983    223.0967793
     410.000    -111.8710500    828.7684738    483.4694859    227.9240243
     420.000    -120.2172786    840.4360782    484.8863262    232.7658742
     430.000    -128.6789643    851.8614930    486.2212101    237.6214777
     440.000    -137.2537323    863.0540395    487.4800714    242.4900451
     450.000    -145.9392983    874.0225381    488.6683410    247.3708438
     460.000    -154.7334641    884.7753420    489.7909938    252.2631932
     470.000    -163.6341126    895.3203678    490.8525925    257.1664602
     480.000    -172.6392039    905.6651240    491.8573257    262.0800556
     490.000    -181.7467713    915.8167375    492.8090423    267.0034301
     500.000    -190.9549175    925.7819780    493.7112833    271.9360715
     510.000    -200.2618111    935.5672801    494.5673089    276.8775017
     520.000    -209.6656837    945.1787643    495.3801246    281.8272737
     530.000    -219.1648265    954.6222564    496.1525031    286.7849694
     540.000    -228.7575874    963.9033054    496.8870054    291.7501975
     550.000    -238.4423688    973.0271999    497.5859991    296.7225912
