#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000     101.5214157      0.0000000      0.0000000    101.5214157
      10.000     101.5110617      3.3215882      8.0043466    101.5442775
      20.000     101.4148161     18.2734977     43.9982491    101.7802861
      30.000     101.0992728     47.0492839    105.7536324    102.5107514
      40.000     100.4334791     87.8771441    183.3656460    103.9485648
      50.000      99.3123111    137.5238871    264.2649421    106.1885055
      60.000      97.6653525    192.4901506    339.6130984    109.2147616
      70.000      95.4543733    249.9273231    405.6230528    112.9492859
      80.000      92.6652325    307.8612191    461.7503662    117.2941300
      90.000      89.2996833    365.0518960    508.9082766    122.1543540
     100.000      85.3691134    420.7779382    548.4480241    127.4469072
     110.000      80.8903097    474.6552651    581.7037122    133.1023888
     120.000      75.8827651    526.5095781    609.8322390    139.0639145
     130.000      70.3670288    576.2930854    633.7833280    145.2851299
     140.000      64.3637230    624.0320630    654.3184496    151.7282118
     150.000      57.8929785    669.7944400    672.0431500    158.3621445
     160.000      50.9741247    713.6699867    687.4389586    165.1613225
     170.000      43.6255364    755.7583207    700.8904500    172.1044509
     180.000      35.8645745    796.1617393    712.7067940    179.1736875
     190.000      27.7075816    834.9810241    723.1384342    186.3539762
     200.000      19.1699108    872.3130764    732.3898460    193.6325261
     210.000      10.2659710    908.2496764    740.6292708    200.9984030
     220.000       1.0092811    942.8769295    747.9961626    208.4422056
     230.000      -8.5874714    976.2751273    754.6069174    215.9558079
     240.000     -18.5123738   1008.5188537    760.5593128    223.5321511
     250.000     -28.7542312   1039.6772304    765.9359771    231.1650764
     260.000     -39.3025143   1069.8142349    770.8071218    238.8491867
     270.000     -50.1473091   1098.9890507    775.2327123    246.5797346
     280.000     -61.2792710   1127.2564254    779.2642051    254.3525281
     290.000     -72.6895821   1154.6670194    782.9459500    262.1638535
     300.000     -84.3699122   1181.2677399    786.3163280    270.0104098
     310.000     -96.3123826   1207.1020528    789.4086830    277.8892538
     320.000    -108.5095333   1232.2102727    792.2520868    285.7977540
     330.000    -120.9542928   1256.6298291    794.8719732    293.7335508
     340.000    -133.6399505   1280.3955107    797.2906648    301.6945231
     350.000    -146.5601316   1303.5396879    799.5278134    309.6787592
     360.000    -159.7087733   1326.0925156    801.6007698    317.6845323
     370.000    -173.0801046   1348.0821172    803.5248955    325.7102787
     380.000    -186.6686260   1369.5347518    805.3138268    333.7545797
     390.000    -200.4690918   1390.4749666    806.9796992    341.8161452
     400.000    -214.4764940   1410.9257343    808.5333385    349.8937997
     410.000    -228.6860469   1430.9085783    809.9844246    357.9864702
     420.000    -243.0931732   1450.4436872    811.3416324    366.0931754
     430.000    -257.6934915   1469.5500174    812.6127524    374.2130160
     440.000    -272.4828038   1488.2453881    813.8047956    382.3451669
     450.000    -287.4570854   1506.5465664    814.9240839    390.4888695
     460.000    -302.6124739   1524.4693459    815.9763289    398.6434252
     470.000    -317.9452607   1542.0286182    816.9667003    406.8081899
     480.000    -333.4518816   1559.2384378    817.8998855    414.9825686
     490.000    -349.1289090   1576.1120819    818.7801425    423.1660112
     500.000    -364.9730445   1592.6621050    819.6113450    431.3580080
     510.000    -380.9811120   1608.9003890    820.3970232    439.5580864
     520.000    -397.1500508   1624.8381889    821.1403994    447.7658075
     530.000    -413.4769098   1640.4861755    821.8444190    455.9807632
     540.000    -429.9588420   1655.8544735    822.5117784    464.2025737
     550.000    -446.5930991   1670.9526980    823.1449496    472.4308848
     560.000    -463.3770263   1685.7899867    823.7462020    480.6653663
     570.000    -480.3080580   1700.3750307    824.3176217    488.9057094
     580.000    -497.3837137   1714.7161024    824.8611291    497.1516257
     590.000    -514.6015931   1728.8210814    825.3784938    505.4028449
     600.000    -531.9593734   1742.6974788    825.8713489    513.6591139
     610.000    -549.4548047   1756.3524589    826.3412032    521.9201952
     620.000    -567.0857073   1769.7928601    826.7894521    530.1858659
     630.000    -584.8499684   1783.0252143    827.2173880    538.4559166
     640.000    -602.7455390   1796.0557640    827.6262085    546.7301500
     650.000    -620.7704310   1808.8904795    828.0170255    555.0083807
     660.000    -638.9227149   1821.5350740    828.3908715    563.2904339
     670.000    -657.2005170   1833.9950176    828.7487069    571.5761448
     680.000    -675.6020172   1846.2755513    829.0914255    579.8653577
     690.000    -694.1254467   1858.3816992    829.4198601    588.1579257
     700.000    -712.7690860   1870.3182798    829.7347874    596.4537099
     710.000    -731.5312625   1882.0899175    830.0369324    604.7525788
     720.000    -750.4103493   1893.7010521    830.3269726    613.0544082
     730.000    -769.4047628   1905.1559492    830.6055412    621.3590801
     740.000    -788.5129612   1916.4587081    830.8732311    629.6664828
     750.000    -807.7334430   1927.6132710    831.1305975    637.9765103
     760.000    -827.0647453   1938.6234307    831.3781610    646.2890620
     770.000    -846.5054425   1949.4928376    831.6164099    654.6040425
     780.000    -866.0541446   1960.2250068    831.8458026    662.9213607
