#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      95.4941579      0.0000000      0.0000000     95.4941579
      10.000      95.4841546      2.9335898      5.6853083     95.5134905
      20.000      95.4146977     12.2837263     27.2477913     95.6603723
      30.000      95.2069016     31.0093137     71.9034523     96.1371810
      40.000      94.7601060     59.9568875    134.3068966     97.1583815
      50.000      93.9798839     97.2376377    202.3840395     98.8417658
      60.000      92.7973251    139.9421183    266.9831156    101.1938522
      70.000      91.1716447    185.4919881    324.0863345    104.1560839
      80.000      89.0842078    232.0475171    372.9625964    107.6480092
      90.000      86.5313162    278.4321618    414.3130031    111.5902108
     100.000      83.5185073    323.9440970    449.2563315    115.9129170
     110.000      80.0566717    368.1910947    478.9005833    120.5576921
     120.000      76.1595781    410.9741201    504.2020205    125.4764725
     130.000      71.8423480    452.2117879    525.9426330    130.6298805
     140.000      67.1205348    491.8930192    544.7487279    135.9855575
     150.000      62.0095783    530.0477956    561.1192810    141.5167477
     160.000      56.5244915    566.7291887    575.4528074    147.2011617
     170.000      50.6796892    602.0023460    588.0695972    153.0200881
     180.000      44.4889038    635.9377641    599.2291379    158.9577014
     190.000      37.9651537    668.6072131    609.1434560    165.0005242
     200.000      31.1207438    700.0813079    617.9872597    171.1370054
     210.000      23.9672848    730.4281071    625.9056577    177.3571873
     220.000      16.5157231    759.7123527    633.0200643    183.6524407
     230.000       8.7763756    787.9951114    639.4327552    190.0152513
     240.000       0.7589678    815.3336637    645.2304136    196.4390471
     250.000      -7.5273291    841.7815440    650.4869179    202.9180569
     260.000     -16.0738610    867.3886711    655.2655533    209.4471935
     270.000     -24.8724553    892.2015287    659.6207826    216.0219574
     280.000     -33.9153885    916.2633710    663.5996768    222.6383554
     290.000     -43.1953538    939.6144380    667.2430785    229.2928332
     300.000     -52.7054331    962.2921694    670.5865567    235.9822177
     310.000     -62.4390692    984.3314123    673.6611931    242.7036686
     320.000     -72.3900414   1005.7646190    676.4942364    249.4546366
     330.000     -82.5524425   1026.6220324    679.1096471    256.2328282
     340.000     -92.9206570   1046.9318584    681.5285549    263.0361749
     350.000    -103.4893423   1066.7204261    683.7696442    269.8628068
     360.000    -114.2534102   1086.0123350    685.8494800    276.7110304
     370.000    -125.2080103   1104.8305905    687.7827852    283.5793082
     380.000    -136.3485151   1123.1967280    689.5826763    290.4662416
     390.000    -147.6705052   1141.1309267    691.2608656    297.3705562
     400.000    -159.1697570   1158.6521133    692.8278345    304.2910883
     410.000    -170.8422301   1175.7780578    694.2929829    311.2267736
     420.000    -182.6840565   1192.5254602    695.6647580    318.1766368
     430.000    -194.6915300   1208.9100300    696.9507656    325.1397829
     440.000    -206.8610971   1224.9465595    698.1578673    332.1153891
     450.000    -219.1893476   1240.6489902    699.2922645    339.1026980
     460.000    -231.6730071   1256.0304739    700.3595720    346.1010109
     470.000    -244.3089287   1271.1034288    701.3648822    353.1096828
     480.000    -257.0940865   1285.8795912    702.3128216    360.1281173
     490.000    -270.0255683   1300.3700620    703.2076001    367.1557621
     500.000    -283.1005705   1314.5853508    704.0530543    374.1921049
     510.000    -296.3163913   1328.5354152    704.8526866    381.2366705
     520.000    -309.6704262   1342.2296978    705.6096984    388.2890166
     530.000    -323.1601626   1355.6771599    706.3270202    395.3487321
     540.000    -336.7831751   1368.8863127    707.0073389    402.4154337
     550.000    -350.5371215   1381.8652460    707.6531206    409.4887638
     560.000    -364.4197383   1394.6216552    708.2666322    416.5683886
     570.000    -378.4288373   1407.1628652    708.8499600    423.6539959
     580.000    -392.5623016   1419.4958538    709.4050266    430.7452936
     590.000    -406.8180825   1431.6272723    709.9336058    437.8420081
     600.000    -421.1941963   1443.5634654    710.4373359    444.9438829
     610.000    -435.6887213   1455.3104891    710.9177321    452.0506771
     620.000    -450.2997949   1466.8741279    711.3761972    459.1621644
     630.000    -465.0256110   1478.2599100    711.8140310    466.2781323
     640.000    -479.8644178   1489.4731221    712.2324398    473.3983803
     650.000    -494.8145151   1500.5188233    712.6325438    480.5227200
     660.000    -509.8742521   1511.4018572    713.0153844    487.6509737
     670.000    -525.0420255   1522.1268641    713.3819306    494.7829734
     680.000    -540.3162775   1532.6982919    713.7330853    501.9185610
     690.000    -555.6954937   1543.1204063    714.0696900    509.0575866
     700.000    -571.1782016   1553.3973007    714.3925302    516.1999089
     710.000    -586.7629687   1563.5329050    714.7023395    523.3453938
     720.000    -602.4484013   1573.5309942    714.9998038    530.4939145
     730.000    -618.2331423   1583.3951962    715.2855646    537.6453509
     740.000    -634.1158706   1593.1289992    715.5602228    544.7995888
     750.000    -650.0952989   1602.7357588    715.8243415    551.9565202
     760.000    -666.1701730   1612.2187044    716.0784489    559.1160423
     770.000    -682.3392706   1621.5809456    716.3230406    566.2780575
     780.000    -698.6013996   1630.8254776    716.5585824    573.4424729
     790.000    -714.9553974   1639.9551872    716.7855118    580.6092004
     800.000    -731.4001299   1648.9728572    717.0042407    587.7781558
     810.000    -747.9344901   1657.8811719    717.2151567    594.9492592
     820.000    -764.5573975   1666.6827215    717.4186249    602.1224342
     830.000    -781.2677970   1675.3800060    717.6149895    609.2976080
     840.000    -798.0646581   1683.9754398    717.8045752    616.4747114
     850.000    -814.9469740   1692.4713553    717.9876885    623.6536779
     860.000    -831.9137610   1700.8700064    718.1646187    630.8344445
