#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000     277.8871854      0.0000000      0.0000000    277.8871854
      10.000     277.8685593      5.7027243     12.3574096    277.9255865
      20.000     277.7158764     28.7246260     71.6587839    278.2903689
      30.000     277.1920743     82.3255554    219.9580581    279.6618409
      40.000     275.9324632    176.4261348    456.2951419    282.9895086
      50.000     273.5403112    307.2585859    727.8269795    288.9032405
      60.000     269.7027717    463.4757739    989.8072052    297.5113181
      70.000     264.2238247    633.8886936   1221.3021111    308.5960333
      80.000     257.0058151    810.1535188   1417.2451060    321.8180966
      90.000     248.0197962    986.7766669   1579.8883246    336.8296962
     100.000     237.2804329   1160.4015687   1713.9539122    353.3205898
     110.000     224.8282556   1329.1091561   1824.4458972    371.0302628
     120.000     210.7180377   1491.8988761   1915.8306052    389.7459028
     130.000     195.0114779   1648.3398308   1991.8253438    409.2956559
     140.000     177.7727119   1798.3461077   2055.4267383    429.5411670
     150.000     159.0656261   1942.0349800   2109.0163007    450.3708731
     160.000     138.9523036   2079.6383594   2154.4772629    471.6944412
     170.000     117.4921743   2211.4479252   2193.2990193    493.4383216
     180.000      94.7415992   2337.7814247   2226.6630797    515.5422557
     190.000      70.7537206   2458.9622626   2255.5111375    537.9565505
     200.000      45.5784714   2575.3074290   2280.5979822    560.6399572
     210.000      19.2626766   2687.1206560   2302.5322940    583.5580143
     220.000      -8.1497937   2794.6888398   2321.8080196    606.6817511
     230.000     -36.6178472   2898.2804890   2338.8285287    629.9866653
     240.000     -66.1029831   2998.1454104   2353.9252689    653.4519154
     250.000     -96.5691067   3094.5151327   2367.3722361    677.0596765
     260.000    -127.9823505   3187.6037499   2379.3972551    700.7946244
     270.000    -160.3109054   3277.6089835   2390.1908224    724.6435201
     280.000    -193.5248622   3364.7133384   2399.9130787    748.5948726
     290.000    -227.5960655   3449.0852742   2408.6993372    772.6386640
     300.000    -262.4979794   3530.8803454   2416.6644932    796.7661242
     310.000    -298.2055632   3610.2422848   2423.9065610    820.9695451
     320.000    -334.6951588   3687.3040163   2430.5095267    845.2421264
     330.000    -371.9443873   3762.1885898   2436.5456613    869.5778473
     340.000    -409.9320545   3835.0100403   2442.0774065    893.9713592
     350.000    -448.6380646   3905.8741714   2447.1589197    918.4178954
     360.000    -488.0433419   3974.8792681   2451.8373458    942.9131946
     370.000    -528.1297586   4042.1167436   2456.1538697    967.4534366
     380.000    -568.8800691   4107.6717252   2460.1445897    992.0351865
     390.000    -610.2778499   4171.6235858   2463.8412476   1016.6553486
     400.000    -652.3074446   4234.0464238   2467.2718395   1041.3111249
     410.000    -694.9539130   4295.0094984   2470.4611304   1065.9999813
     420.000    -738.2029852   4354.5776235   2473.4310885   1090.7196167
     430.000    -782.0410185   4412.8115252   2476.2012532   1115.4679373
     440.000    -826.4549585   4469.7681650   2478.7890483   1140.2430341
     450.000    -871.4323029   4525.5010343   2481.2100498   1165.0431625
     460.000    -916.9610679   4580.0604211   2483.4782144   1189.8667258
     470.000    -963.0297578   4633.4936533   2485.6060766   1214.7122593
     480.000   -1009.6273361   4685.8453196   2487.6049181   1239.5784174
     490.000   -1056.7431994   4737.1574714   2489.4849144   1264.4639616
     500.000   -1104.3671530   4787.4698065   2491.2552619   1289.3677502
     510.000   -1152.4893881   4836.8198377   2492.9242882   1314.2887292
     520.000   -1201.1004606   4885.2430463   2494.4995484   1339.2259235
     530.000   -1250.1912718   4932.7730232   2495.9879091   1364.1784305
     540.000   -1299.7530499   4979.4415978   2497.3956223   1389.1454129
     550.000   -1349.7773332   5025.2789571   2498.7283896   1414.1260932
     560.000   -1400.2559540   5070.3137541   2499.9914194   1439.1197483
     570.000   -1451.1810239   5114.5732088   2501.1894768   1464.1257051
     580.000   -1502.5449201   5158.0831999   2502.3269285   1489.1433359
     590.000   -1554.3402719   5200.8683507   2503.4077812   1514.1720550
     600.000   -1606.5599492   5242.9521073   2504.4357171   1539.2113152
     610.000   -1659.1970507   5284.3568114   2505.4141248   1564.2606043
     620.000   -1712.2448931   5325.1037678   2506.3461264   1589.3194430
     630.000   -1765.6970014   5365.2133066   2507.2346027   1614.3873818
     640.000   -1819.5470993   5404.7048408   2508.0822151   1639.4639989
